paper_id,methods,model1,model2,model3,model4,model5,model6
on-enhancing-speech-emotion-recognition-using,"GAN, Convolution",GAN,,,,,
snap-ml-a-hierarchical-framework-for-machine,Logistic Regression,Logistic Regression,,,,,
a-novel-hybrid-machine-learning-model-for,SVM,SVM,,,,,
laplacian-smoothing-gradient-descent,Logistic Regression,Logistic Regression,,,,,
examining-the-use-of-neural-networks-for,SVM,SVM,,,,,
genesis-of-basic-and-multi-layer-echo-state,AutoEncoder,Autoencoder,,,,,
going-deeper-in-spiking-neural-networks-vgg,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
machine-learning-cicy-threefolds,SVM,SVM,,,,,
q-space-novelty-detection-with-variational,VAE,VAE,,,,,
radialgan-leveraging-multiple-datasets-to,"GAN, Convolution",GAN,,,,,
pros-and-cons-of-gan-evaluation-measures,"GAN, Convolution",GAN,,,,,
k-beam-minimax-efficient-optimization-for,"SPEED, GAN, Convolution",GAN,,,,,
deep-learning-based-inverse-method-for-layout,"AutoEncoder, VAE",VAE,Autoencoder,,,,
conditional-linear-regression,Linear Regression,Linear Regression,,,,,
adversarial-regression-with-multiple-learners,Linear Regression,Linear Regression,,,,,
killing-four-birds-with-one-gaussian-process,Gaussian Process,Gaussian Process,,,,,
reverse-iterative-volume-sampling-for-linear,Linear Regression,Linear Regression,,,,,
a-machine-learning-framework-for-stock,Logistic Regression,Logistic Regression,,,,,
semi-supervised-clustering-with-neural,"AutoEncoder, Convolution",Autoencoder,,,,,
graph-based-regularization-for-regression,Linear Regression,Linear Regression,,,,,
autoencoders-learn-generative-linear-models,AutoEncoder,Autoencoder,,,,,
nest-a-neural-network-synthesis-tool-based-on,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution, Pruning",AlexNet,,,,,
adversarial-attacks-on-face-detectors-using,"RPN, RoIPool, Convolution, Softmax, Faster R-CNN",CNN,Faster R-CNN,,,,
recurrent-deep-embedding-networks-for,"AutoEncoder, SHAP",Autoencoder,,,,,
mpdcompress-matrix-permutation-decomposition,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, LeNet, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution, Pruning",LeNet,AlexNet,,,,
neural-discrete-representation-learning,"Batch Normalization, Residual Connection, VQ-VAE, Dilated Causal Convolution, Convolution, Residual Block, ReLU, Adam",VAE,,,,,
autozoom-autoencoder-based-zeroth-order,AutoEncoder,Autoencoder,,,,,
deep-reinforcement-learning-in-ice-hockey-for,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
splitting-source-code-identifiers-using,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
detecting-deceptive-reviews-using-generative,"GAN, Convolution",GAN,,,,,
graph2seq-graph-to-sequence-learning-with,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
collective-online-learning-of-gaussian,Gaussian Process,Gaussian Process,,,,,
ecornn-efficient-computing-of-lstm-rnn,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
meta-learning-with-differentiable-closed-form,Logistic Regression,Logistic Regression,,,,,
gsae-an-autoencoder-with-embedded-gene-set,AutoEncoder,Autoencoder,,,,,
edge-attention-based-multi-relational-graph,GCN,GCN,,,,,
ntmaldetect-a-machine-learning-approach-to,SVM,SVM,,,,,
chief-complaint-classification-with-recurrent,"GRU, SPEED",GRU,,,,,
number-sequence-prediction-problems-for,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
approximating-the-void-learning-stochastic,"GAN, Convolution",GAN,,,,,
towards-explaining-anomalies-a-deep-taylor,SVM,SVM,,,,,
distribution-based-label-space-transformation,Logistic Regression,Logistic Regression,,,,,
automated-design-of-collective-variables,Logistic Regression,Logistic Regression,,,,,
towards-autonomous-reinforcement-learning,Gaussian Process,Gaussian Process,,,,,
classification-of-protein-crystallization-x,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, VGG, Residual Connection, Bottleneck Residual Block, Convolution, Residual Block, Softmax, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",VGG,ResNet,,,,
towards-budget-driven-hardware-optimization,DCNN,CNN,DCNN,,,,
a-cost-sensitive-deep-belief-network-for,Deep Belief Network,Deep Belief Network,,,,,
evolving-mario-levels-in-the-latent-space-of,"GAN, Convolution",GAN,,,,,
an-anti-fraud-system-for-car-insurance-claim,"Dense Connections, SPEED, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
a-multi-state-diagnosis-and-prognosis,Deep Belief Network,Deep Belief Network,,,,,
machine-learning-for-exam-triage,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, CheXNet, DenseNet, Convolution, Softmax, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",CheXNet,DenseNet,,,,
efficiently-learning-nonstationary-gaussian,Gaussian Process,Gaussian Process,,,,,
removing-confounding-factors-associated,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
smart-surveillance-as-an-edge-network-service,"Convolution, SVM",SVM,,,,,
plusemo2vec-at-semeval-2018-task-1-exploiting,Logistic Regression,Logistic Regression,,,,,
a-robot-to-shape-your-natural-plant-the,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
modeling-long-and-short-term-temporal,"Gaussian Process, Convolution",Gaussian Process,,,,,
a-support-tensor-train-machine,SVM,SVM,,,,,
melanogans-high-resolution-skin-lesion,"Leaky ReLU, DCGAN, LAPGAN, GAN, Convolution, Laplacian Pyramid, ReLU, Batch Normalization",GAN,DCGAN,,,,
data-augmentation-by-pairing-samples-for,"GoogLeNet, Average Pooling, Dense Connections, Inception Module, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Auxiliary Classifier",GoogleNet,LeNet,,,,
hyperspherical-variational-auto-encoders,VAE,VAE,,,,,
high-quality-nonparallel-voice-conversion,"Cycle Consistency Loss, GAN Least Squares Loss, ReLU, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, Convolution, Residual Block",GAN,,,,,
a-sentiment-and-semantics-based-approach-for,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
performance-evaluation-and-hyperparameter,"Logistic Regression, GAM",Logistic Regression,,,,,
ai-blue-book-vehicle-price-prediction-using,Linear Regression,Linear Regression,,,,,
logistic-regression-the-importance-of-being,Logistic Regression,Logistic Regression,,,,,
learning-based-dequantization-for-image,DCNN,CNN,DCNN,,,,
stacked-neural-networks-for-end-to-end,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
forecasting-economics-and-financial-time,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
